truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-08-23
0.0,0.0,0.0,2021-08-23
0.0,0.0,0.0,2021-08-23
77.0,1.0,0.0,2021-08-24
77.0,0.0,0.0,2021-08-24
10.0,0.0,0.0,2021-08-25
10.0,0.0,0.0,2021-08-25
19.0,0.0,0.0,2021-08-26
19.0,0.0,0.0,2021-08-26
43.0,0.0,0.0,2021-08-27
43.0,0.0,0.0,2021-08-27
0.0,0.0,0.0,2021-08-28
0.0,0.0,0.0,2021-08-28
0.0,0.0,0.0,2021-08-29
0.0,0.0,0.0,2021-08-29
0.0,77.0,682.0,2021-08-30
0.0,67.0,682.0,2021-08-30
87.0,0.0,0.0,2021-08-31
87.0,10.0,0.0,2021-08-31
12.0,18.0,0.0,2021-09-01
12.0,4.0,0.0,2021-09-01
89.0,39.0,0.0,2021-09-02
89.0,45.0,0.0,2021-09-02
10.0,3.0,0.0,2021-09-03
10.0,0.0,0.0,2021-09-03
51.0,0.0,0.0,2021-09-04
51.0,0.0,0.0,2021-09-04
0.0,0.0,0.0,2021-09-05
0.0,0.0,0.0,2021-09-05
0.0,87.0,262.0,2021-09-06
0.0,103.0,262.0,2021-09-06
0.0,35.0,262.0,2021-09-06
