truth,pred,pred_sir,fecha
2120.0,2168.491824989765,1936.7708667064007,2021-02-08
2120.0,2311.739505458288,2131.90673743358,2021-02-08
1703.0,3721.0,3412.0,2021-02-09
2842.0,3662.0,3467.0,2021-02-10
3711.0,3792.0,3502.0,2021-02-11
3707.0,3542.0,3202.0,2021-02-12
3721.0,3467.0,3055.0,2021-02-13
3226.0,1916.0,1488.0,2021-02-14
2743.0,1593.0,0.0,2021-02-15
2564.0,2715.0,2715.0,2021-02-16
3181.0,3499.0,2754.0,2021-02-17
4074.0,3439.0,2794.0,2021-02-18
4204.0,3463.0,2494.0,2021-02-19
4134.0,2971.0,2360.0,2021-02-20
4521.0,2530.0,808.0,2021-02-21
4125.0,3183.0,5001.0,2021-02-22
4125.0,2347.0,5001.0,2021-02-22
