truth,pred,pred_sir,fecha
20496.0,19608.759785748596,19619.37625830288,2021-11-29
20496.0,19731.17340679496,19228.7323370697,2021-11-29
13050.0,19858.0,14511.0,2021-11-30
19017.0,16123.0,21299.0,2021-12-01
29013.0,18525.0,16464.0,2021-12-02
27277.0,16193.0,13543.0,2021-12-03
26858.0,17294.0,11950.0,2021-12-04
25478.0,11520.0,6053.0,2021-12-05
22302.0,7333.0,0.0,2021-12-06
13164.0,15559.0,613.0,2021-12-07
19265.0,22077.0,8683.0,2021-12-08
28417.0,17947.0,5548.0,2021-12-09
27350.0,19721.0,4183.0,2021-12-10
24909.0,18094.0,4088.0,2021-12-11
23681.0,15953.0,0.0,2021-12-12
19360.0,7939.0,0.0,2021-12-13
19360.0,10986.0,0.0,2021-12-13
