truth,pred,pred_sir,fecha
2115.0,2023.9255900831522,1969.0097628218446,2021-08-23
2115.0,2235.062920226256,2205.9164047429595,2021-08-23
2115.0,1965.2359575467801,2171.1598661879693,2021-08-23
1128.0,3123.0,1901.0,2021-08-24
1128.0,2074.0,1901.0,2021-08-24
2247.0,3030.0,2466.0,2021-08-25
2247.0,5262.0,2466.0,2021-08-25
3044.0,2819.0,1662.0,2021-08-26
3044.0,4550.0,1662.0,2021-08-26
2527.0,2829.0,1499.0,2021-08-27
2527.0,4764.0,1499.0,2021-08-27
2341.0,3429.0,1602.0,2021-08-28
2341.0,5747.0,1602.0,2021-08-28
2350.0,7562.0,1461.0,2021-08-29
2350.0,4289.0,1461.0,2021-08-29
1781.0,2545.0,0.0,2021-08-30
1781.0,3896.0,0.0,2021-08-30
1071.0,3462.0,497.0,2021-08-31
1071.0,5538.0,497.0,2021-08-31
1886.0,8570.0,1935.0,2021-09-01
1886.0,5903.0,1935.0,2021-09-01
1534.0,4385.0,631.0,2021-09-02
1534.0,6923.0,631.0,2021-09-02
2794.0,9607.0,1181.0,2021-09-03
2794.0,5999.0,1181.0,2021-09-03
1786.0,9204.0,1293.0,2021-09-04
1786.0,6641.0,1293.0,2021-09-04
1683.0,9990.0,718.0,2021-09-05
1683.0,7289.0,718.0,2021-09-05
1189.0,10760.0,0.0,2021-09-06
1189.0,13677.0,0.0,2021-09-06
1189.0,10312.0,0.0,2021-09-06
