truth,pred,pred_sir,fecha
5878.0,6273.0222703076,6049.850413693394,2021-12-13
5878.0,5532.812112739823,5479.365555934356,2021-12-13
2840.0,8991.0,11345.0,2021-12-14
6300.0,10160.0,10865.0,2021-12-15
6342.0,9489.0,7481.0,2021-12-16
7874.0,7778.0,3756.0,2021-12-17
5313.0,7425.0,2481.0,2021-12-18
4823.0,6088.0,0.0,2021-12-19
4195.0,3148.0,4131.0,2021-12-20
1440.0,6540.0,5637.0,2021-12-21
5168.0,6984.0,5504.0,2021-12-22
2478.0,8710.0,2572.0,2021-12-23
7269.0,6526.0,0.0,2021-12-24
5323.0,5875.0,0.0,2021-12-25
1156.0,5276.0,0.0,2021-12-26
13.0,8845.0,0.0,2021-12-27
13.0,3448.0,0.0,2021-12-27
