truth,pred,pred_sir,fecha
2288.0,2163.7532056362306,2393.4566964461205,2021-11-15
2288.0,2479.5177851540375,2187.976013864505,2021-11-15
1738.0,10596.0,4285.0,2021-11-16
3750.0,20281.0,5339.0,2021-11-17
4262.0,33213.0,3801.0,2021-11-18
3647.0,49448.0,3408.0,2021-11-19
3513.0,65615.0,3258.0,2021-11-20
3224.0,72230.0,1810.0,2021-11-21
2231.0,63336.0,5374.0,2021-11-22
1390.0,46329.0,3273.0,2021-11-23
3344.0,29777.0,4091.0,2021-11-24
3094.0,18147.0,2419.0,2021-11-25
2626.0,11925.0,1888.0,2021-11-26
2316.0,8687.0,1653.0,2021-11-27
2189.0,6265.0,167.0,2021-11-28
1431.0,4376.0,3706.0,2021-11-29
1431.0,0.0,3706.0,2021-11-29
