truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-11-15
0.0,0.0,0.0,2021-11-15
9772.0,124002.0,840.0,2021-11-16
4070.0,300494.0,7200.0,2021-11-17
6648.0,718033.0,4535.0,2021-11-18
6295.0,1669571.0,4388.0,2021-11-19
6615.0,3540798.0,0.0,2021-11-20
0.0,5823395.0,0.0,2021-11-21
0.0,4835431.0,11931.0,2021-11-22
15852.0,785728.0,0.0,2021-11-23
6756.0,81647.0,5984.0,2021-11-24
8507.0,17298.0,3172.0,2021-11-25
9239.0,9789.0,2883.0,2021-11-26
9892.0,2261.0,0.0,2021-11-27
0.0,635.0,0.0,2021-11-28
0.0,16061.0,9951.0,2021-11-29
0.0,3055.0,9951.0,2021-11-29
