truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-12-13
0.0,0.0,0.0,2021-12-13
23409.0,8223.0,10121.0,2021-12-14
8103.0,11951.0,11255.0,2021-12-15
11089.0,10507.0,7982.0,2021-12-16
11001.0,10124.0,5982.0,2021-12-17
9880.0,396.0,0.0,2021-12-18
0.0,29.0,0.0,2021-12-19
0.0,23412.0,9134.0,2021-12-20
20458.0,11082.0,3973.0,2021-12-21
8132.0,12812.0,5448.0,2021-12-22
11521.0,13355.0,2621.0,2021-12-23
11405.0,12688.0,1146.0,2021-12-24
0.0,3012.0,0.0,2021-12-25
0.0,815.0,0.0,2021-12-26
0.0,21603.0,0.0,2021-12-27
0.0,27507.0,0.0,2021-12-27
