truth,pred,pred_sir,fecha
44071.0,44018.93036019344,47246.590874919646,2021-10-04
44071.0,45198.48816497967,46491.08337619788,2021-10-04
138908.0,828052.0,110848.0,2021-10-05
92858.0,1240978.0,117231.0,2021-10-06
110089.0,1802990.0,98889.0,2021-10-07
98577.0,2611207.0,138223.0,2021-10-08
127796.0,3559010.0,27049.0,2021-10-09
36930.0,4691785.0,21994.0,2021-10-10
38870.0,5968992.0,93524.0,2021-10-11
91303.0,6964544.0,82230.0,2021-10-12
107933.0,7362127.0,85970.0,2021-10-13
105468.0,6897727.0,65867.0,2021-10-14
83375.0,5747339.0,103732.0,2021-10-15
105850.0,4236524.0,0.0,2021-10-16
38321.0,2910790.0,0.0,2021-10-17
31429.0,1050707.0,194874.0,2021-10-18
31429.0,794350.0,194874.0,2021-10-18
