truth,pred,pred_sir,fecha
5036.0,5085.164961155602,5252.738729810301,2020-12-28
7203.0,9540.0,8911.0,2020-12-29
11656.0,10404.0,9354.0,2020-12-30
11782.0,1968.0,663.0,2020-12-31
11606.0,11083.0,11265.0,2021-01-01
4095.0,5812.0,4219.0,2021-01-02
5257.0,6128.0,5450.0,2021-01-03
5901.0,8357.0,13958.0,2021-01-04
8220.0,13230.0,9254.0,2021-01-05
13794.0,14263.0,9663.0,2021-01-06
13540.0,14268.0,940.0,2021-01-07
13823.0,6745.0,11508.0,2021-01-08
13389.0,6511.0,4438.0,2021-01-09
11072.0,7113.0,5642.0,2021-01-10
7814.0,7974.598604124765,7884.143438387551,2021-01-11
7814.0,7694.6877204068405,8042.003319900571,2021-01-11
8698.0,11258.0,13498.0,2021-01-12
8698.0,15889.0,13498.0,2021-01-12
13761.0,16479.0,9787.0,2021-01-13
13761.0,9047.0,9787.0,2021-01-13
12559.0,15484.0,1060.0,2021-01-14
12559.0,9585.0,1060.0,2021-01-14
13176.0,15137.0,11626.0,2021-01-15
13176.0,9229.0,11626.0,2021-01-15
12333.0,12745.0,4547.0,2021-01-16
12333.0,7561.0,4547.0,2021-01-16
8926.0,9181.0,5754.0,2021-01-17
8926.0,5285.0,5754.0,2021-01-17
7243.0,7245.0,0.0,2021-01-18
7243.0,10013.0,0.0,2021-01-18
