truth,pred,pred_sir,fecha
2079.0,2145.6001568894585,1991.714269078103,2021-04-19
2079.0,2128.0708153777186,2049.3820258532496,2021-04-19
1743.0,0.0,270.0,2021-04-20
1743.0,1859.0,270.0,2021-04-20
1736.0,0.0,0.0,2021-04-21
1736.0,2049.0,0.0,2021-04-21
1812.0,262.0,324.0,2021-04-22
1812.0,2742.0,324.0,2021-04-22
2252.0,0.0,680.0,2021-04-23
2252.0,2538.0,680.0,2021-04-23
2331.0,0.0,458.0,2021-04-24
2331.0,2152.0,458.0,2021-04-24
2195.0,200.0,1578.0,2021-04-25
2195.0,1825.0,1578.0,2021-04-25
1605.0,192.0,0.0,2021-04-26
1605.0,1503.0,0.0,2021-04-26
1531.0,381.0,1019.0,2021-04-27
1217.0,1473.0,1153.0,2021-04-28
1549.0,943.0,2018.0,2021-04-29
1914.0,1505.0,1512.0,2021-04-30
1787.0,897.0,1075.0,2021-05-01
1761.0,843.0,1005.0,2021-05-02
1276.0,827.0,0.0,2021-05-03
1152.0,444.0,445.0,2021-05-04
725.0,1140.0,604.0,2021-05-05
1064.0,858.0,1501.0,2021-05-06
1333.0,1005.0,1024.0,2021-05-07
1010.0,860.0,615.0,2021-05-08
1005.0,519.0,575.0,2021-05-09
773.0,703.0,0.0,2021-05-10
