truth,pred,pred_sir,fecha
2055.0,2063.6460451498974,1871.8329132074332,2021-03-08
2055.0,1931.6985717324205,1857.1124575233125,2021-03-08
1113.0,1811.0,1108.0,2021-03-09
1113.0,0.0,1108.0,2021-03-09
2081.0,3245.0,0.0,2021-03-10
2081.0,2262.0,0.0,2021-03-10
3325.0,0.0,0.0,2021-03-11
3325.0,2576.0,0.0,2021-03-11
3374.0,1891.0,1853.0,2021-03-12
3374.0,399.0,1853.0,2021-03-12
3420.0,2162.0,344.0,2021-03-13
3420.0,1998.0,344.0,2021-03-13
3363.0,0.0,150.0,2021-03-14
3363.0,2055.0,150.0,2021-03-14
2943.0,497.0,0.0,2021-03-15
2943.0,516.0,0.0,2021-03-15
1587.0,1923.0,400.0,2021-03-16
3078.0,2735.0,1705.0,2021-03-17
4974.0,2538.0,1110.0,2021-03-18
4440.0,2642.0,1283.0,2021-03-19
4749.0,2550.0,1321.0,2021-03-20
0.0,2151.0,818.0,2021-03-21
8998.0,9526.538386962015,8501.17486863346,2021-03-22
8998.0,8719.694884582146,9768.375095720678,2021-03-22
2229.0,2722.0,0.0,2021-03-23
2229.0,3010.0,0.0,2021-03-23
3398.0,3960.0,1275.0,2021-03-24
3398.0,4882.0,1275.0,2021-03-24
6113.0,2805.0,709.0,2021-03-25
6113.0,4386.0,709.0,2021-03-25
5257.0,3286.0,909.0,2021-03-26
5257.0,4680.0,909.0,2021-03-26
5697.0,0.0,971.0,2021-03-27
5697.0,0.0,971.0,2021-03-27
5029.0,8998.0,8876.0,2021-03-28
5029.0,5823.0,8876.0,2021-03-28
4620.0,87.0,0.0,2021-03-29
4620.0,2223.0,0.0,2021-03-29
