truth,pred,pred_sir,fecha
378.0,358.4066557616078,347.7822220352717,2021-04-19
378.0,341.44207999711546,410.47241634948966,2021-04-19
2462.0,0.0,1939.0,2021-04-20
2462.0,2870.0,1939.0,2021-04-20
2009.0,0.0,1124.0,2021-04-21
2009.0,2409.0,1124.0,2021-04-21
1932.0,0.0,647.0,2021-04-22
1932.0,2058.0,647.0,2021-04-22
0.0,0.0,1118.0,2021-04-23
0.0,2007.0,1118.0,2021-04-23
3221.0,0.0,0.0,2021-04-24
3221.0,975.0,0.0,2021-04-24
670.0,0.0,0.0,2021-04-25
670.0,378.0,0.0,2021-04-25
370.0,2194.0,0.0,2021-04-26
370.0,0.0,0.0,2021-04-26
1702.0,2009.0,2089.0,2021-04-27
1836.0,499.0,1607.0,2021-04-28
1302.0,0.0,1227.0,2021-04-29
1139.0,3221.0,1156.0,2021-04-30
534.0,0.0,109.0,2021-05-01
368.0,370.0,0.0,2021-05-02
328.0,1436.0,0.0,2021-05-03
632.0,800.0,1636.0,2021-05-04
327.0,727.0,1176.0,2021-05-05
1592.0,619.0,821.0,2021-05-06
424.0,92.0,774.0,2021-05-07
1003.0,302.0,0.0,2021-05-08
380.0,112.0,0.0,2021-05-09
237.0,551.0,0.0,2021-05-10
