truth,pred,pred_sir,fecha
3163.0,3391.084672564095,3306.6282005911867,2021-04-05
3163.0,3017.709432854011,2929.8760188315673,2021-04-05
6705.0,3412.0,3367.0,2021-04-06
6705.0,0.0,3367.0,2021-04-06
9819.0,5482.0,4281.0,2021-04-07
9819.0,3154.0,4281.0,2021-04-07
7000.0,3804.0,3520.0,2021-04-08
7000.0,389.0,3520.0,2021-04-08
7282.0,3055.0,3827.0,2021-04-09
7282.0,0.0,3827.0,2021-04-09
7432.0,4462.0,2648.0,2021-04-10
7432.0,0.0,2648.0,2021-04-10
5966.0,3163.0,2534.0,2021-04-11
5966.0,0.0,2534.0,2021-04-11
5632.0,6705.0,5870.0,2021-04-12
5632.0,0.0,5870.0,2021-04-12
9010.0,9819.0,1511.0,2021-04-13
6471.0,0.0,2880.0,2021-04-14
7818.0,7282.0,2498.0,2021-04-15
7773.0,0.0,620.0,2021-04-16
6371.0,5966.0,1858.0,2021-04-17
6308.0,0.0,646.0,2021-04-18
5393.0,4913.426742006304,5179.004287151144,2021-04-19
5393.0,5136.420635769918,5345.693215350998,2021-04-19
8414.0,6073.0,407.0,2021-04-20
8414.0,392.0,407.0,2021-04-20
6314.0,7257.0,1868.0,2021-04-21
6314.0,402.0,1868.0,2021-04-21
6430.0,7191.0,1576.0,2021-04-22
6430.0,319.0,1576.0,2021-04-22
6975.0,5903.0,0.0,2021-04-23
6975.0,112.0,0.0,2021-04-23
5916.0,6141.0,1079.0,2021-04-24
5916.0,0.0,1079.0,2021-04-24
4487.0,5393.0,4334.0,2021-04-25
4487.0,0.0,4334.0,2021-04-25
4456.0,8414.0,5138.0,2021-04-26
4456.0,0.0,5138.0,2021-04-26
