truth,pred,pred_sir,fecha
230.0,226.7985122173708,230.46077520663954,2021-02-08
230.0,231.6641647563588,238.34405548777656,2021-02-08
59.0,303.0,145.0,2021-02-09
59.0,0.0,145.0,2021-02-09
269.0,647.0,519.0,2021-02-10
269.0,0.0,519.0,2021-02-10
567.0,433.0,345.0,2021-02-11
567.0,0.0,345.0,2021-02-11
359.0,467.0,217.0,2021-02-12
359.0,0.0,217.0,2021-02-12
355.0,362.0,168.0,2021-02-13
355.0,337.0,168.0,2021-02-13
359.0,207.0,0.0,2021-02-14
359.0,0.0,0.0,2021-02-14
192.0,59.0,0.0,2021-02-15
192.0,0.0,0.0,2021-02-15
59.0,269.0,0.0,2021-02-16
264.0,249.0,242.0,2021-02-17
487.0,65.0,59.0,2021-02-18
348.0,278.0,129.0,2021-02-19
380.0,31.0,57.0,2021-02-20
400.0,155.0,0.0,2021-02-21
256.0,244.61292020386642,236.9976609518756,2021-02-22
256.0,250.50499463921125,279.3679730071526,2021-02-22
70.0,194.0,0.0,2021-02-23
70.0,51.0,0.0,2021-02-23
330.0,427.0,150.0,2021-02-24
330.0,21.0,150.0,2021-02-24
656.0,325.0,146.0,2021-02-25
656.0,0.0,146.0,2021-02-25
468.0,380.0,64.0,2021-02-26
468.0,0.0,64.0,2021-02-26
448.0,400.0,3.0,2021-02-27
448.0,0.0,3.0,2021-02-27
482.0,256.0,0.0,2021-02-28
482.0,0.0,0.0,2021-02-28
345.0,70.0,0.0,2021-03-01
345.0,0.0,0.0,2021-03-01
