truth,pred,pred_sir,fecha
295.0,296.02120251493506,290.5212503177151,2021-03-08
295.0,298.2265807110237,282.4360396752582,2021-03-08
283.0,42.0,227.0,2021-03-09
283.0,232.0,227.0,2021-03-09
333.0,0.0,0.0,2021-03-10
333.0,282.0,0.0,2021-03-10
402.0,0.0,10.0,2021-03-11
402.0,315.0,10.0,2021-03-11
390.0,168.0,310.0,2021-03-12
390.0,114.0,310.0,2021-03-12
400.0,86.0,16.0,2021-03-13
400.0,207.0,16.0,2021-03-13
352.0,0.0,23.0,2021-03-14
352.0,295.0,23.0,2021-03-14
377.0,89.0,0.0,2021-03-15
377.0,145.0,0.0,2021-03-15
357.0,238.0,162.0,2021-03-16
200.0,237.0,155.0,2021-03-17
459.0,226.0,190.0,2021-03-18
362.0,242.0,254.0,2021-03-19
370.0,175.0,144.0,2021-03-20
344.0,249.0,178.0,2021-03-21
392.0,408.1954569718016,385.32477855575144,2021-03-22
392.0,381.06677194209396,417.76670210116987,2021-03-22
318.0,61.0,114.0,2021-03-23
318.0,166.0,114.0,2021-03-23
394.0,323.0,109.0,2021-03-24
394.0,283.0,109.0,2021-03-24
349.0,131.0,146.0,2021-03-25
349.0,290.0,146.0,2021-03-25
275.0,134.0,212.0,2021-03-26
275.0,297.0,212.0,2021-03-26
311.0,103.0,103.0,2021-03-27
311.0,288.0,103.0,2021-03-27
349.0,238.0,416.0,2021-03-28
349.0,201.0,416.0,2021-03-28
319.0,157.0,0.0,2021-03-29
319.0,235.0,0.0,2021-03-29
