truth,pred,pred_sir,fecha
3001.0,2925.552569229214,3150.322712175588,2020-12-28
3714.0,8631.0,8762.0,2020-12-29
10824.0,12463.0,11683.0,2020-12-30
16381.0,16362.0,14622.0,2020-12-31
16994.0,7149.0,4561.0,2021-01-01
13313.0,3894.0,2705.0,2021-01-02
3411.0,3663.0,2826.0,2021-01-03
4971.0,4339.0,9443.0,2021-01-04
6176.0,11566.0,8385.0,2021-01-05
12867.0,18307.0,11220.0,2021-01-06
17233.0,19878.0,14089.0,2021-01-07
17770.0,16243.0,3970.0,2021-01-08
14891.0,5680.0,2059.0,2021-01-09
13113.0,5761.0,2130.0,2021-01-10
8413.0,7971.834466296187,7860.860024457565,2021-01-11
8413.0,8327.678128081989,8083.998542253078,2021-01-11
4232.0,10781.0,11774.0,2021-01-12
4232.0,14309.0,11774.0,2021-01-12
9262.0,19059.0,10423.0,2021-01-13
9262.0,11030.0,10423.0,2021-01-13
10706.0,19031.0,13308.0,2021-01-14
10706.0,11341.0,13308.0,2021-01-14
10791.0,16036.0,3202.0,2021-01-15
10791.0,9304.0,3202.0,2021-01-15
8028.0,13960.0,1290.0,2021-01-16
8028.0,8138.0,1290.0,2021-01-16
9229.0,9092.0,1381.0,2021-01-17
9229.0,5136.0,1381.0,2021-01-17
5169.0,2382.0,0.0,2021-01-18
5169.0,4430.0,0.0,2021-01-18
