truth,pred,pred_sir,fecha
1686.0,1803.3963082530036,1832.9625774491012,2021-03-22
1686.0,1849.0113288902887,1652.2131306181102,2021-03-22
235.0,276.0,0.0,2021-03-23
235.0,334.0,0.0,2021-03-23
677.0,2625.0,2044.0,2021-03-24
677.0,2794.0,2044.0,2021-03-24
3186.0,1120.0,0.0,2021-03-25
3186.0,1829.0,0.0,2021-03-25
1807.0,1721.0,624.0,2021-03-26
1807.0,2219.0,624.0,2021-03-26
2710.0,631.0,1195.0,2021-03-27
2710.0,1184.0,1195.0,2021-03-27
1189.0,1727.0,1751.0,2021-03-28
1189.0,1275.0,1751.0,2021-03-28
1724.0,0.0,0.0,2021-03-29
1724.0,235.0,0.0,2021-03-29
588.0,680.0,496.0,2021-03-30
2158.0,3197.0,2871.0,2021-03-31
1397.0,1860.0,1935.0,2021-04-01
1574.0,2740.0,2287.0,2021-04-02
1586.0,1232.0,1274.0,2021-04-03
1060.0,1744.0,1797.0,2021-04-04
2483.0,2423.574452139793,2308.1017888478655,2021-04-05
2483.0,2574.8384422502554,2560.84798856172,2021-04-05
1082.0,2157.0,535.0,2021-04-06
1082.0,199.0,535.0,2021-04-06
901.0,1215.0,874.0,2021-04-07
901.0,1364.0,874.0,2021-04-07
1873.0,1537.0,1973.0,2021-04-08
1873.0,169.0,1973.0,2021-04-08
1963.0,1581.0,2321.0,2021-04-09
1963.0,136.0,2321.0,2021-04-09
973.0,1055.0,1306.0,2021-04-10
973.0,92.0,1306.0,2021-04-10
2143.0,2480.0,1825.0,2021-04-11
2143.0,203.0,1825.0,2021-04-11
1918.0,1075.0,1290.0,2021-04-12
1918.0,95.0,1290.0,2021-04-12
