truth,pred,pred_sir,fecha
1125.0,1129.0837081030145,1202.1247941040897,2021-03-08
1125.0,1096.4735900425787,1062.6443590533706,2021-03-08
1106.0,187.0,591.0,2021-03-09
1106.0,450.0,591.0,2021-03-09
861.0,236.0,0.0,2021-03-10
861.0,817.0,0.0,2021-03-10
923.0,0.0,0.0,2021-03-11
923.0,887.0,0.0,2021-03-11
1356.0,351.0,529.0,2021-03-12
1356.0,320.0,529.0,2021-03-12
341.0,375.0,0.0,2021-03-13
341.0,662.0,0.0,2021-03-13
502.0,54.0,0.0,2021-03-14
502.0,1091.0,0.0,2021-03-14
425.0,404.0,0.0,2021-03-15
425.0,437.0,0.0,2021-03-15
1131.0,568.0,258.0,2021-03-16
849.0,541.0,677.0,2021-03-17
790.0,993.0,471.0,2021-03-18
589.0,0.0,402.0,2021-03-19
180.0,502.0,409.0,2021-03-20
0.0,82.0,692.0,2021-03-21
0.0,0.0,0.0,2021-03-22
0.0,0.0,0.0,2021-03-22
0.0,590.0,149.0,2021-03-23
0.0,572.0,149.0,2021-03-23
0.0,370.0,571.0,2021-03-24
0.0,615.0,571.0,2021-03-24
0.0,138.0,368.0,2021-03-25
0.0,524.0,368.0,2021-03-25
0.0,0.0,303.0,2021-03-26
0.0,180.0,303.0,2021-03-26
0.0,0.0,312.0,2021-03-27
0.0,0.0,312.0,2021-03-27
0.0,0.0,20.0,2021-03-28
0.0,0.0,20.0,2021-03-28
0.0,0.0,0.0,2021-03-29
0.0,0.0,0.0,2021-03-29
