truth,pred,pred_sir,fecha
37.0,33.6463670248702,40.48341267650269,2021-01-25
37.0,33.32856660117593,34.62149176362666,2021-01-25
125.0,327.0,161.0,2021-01-26
125.0,340.0,161.0,2021-01-26
506.0,207.0,0.0,2021-01-27
506.0,300.0,0.0,2021-01-27
305.0,0.0,309.0,2021-01-28
305.0,0.0,309.0,2021-01-28
378.0,371.0,367.0,2021-01-29
378.0,256.0,367.0,2021-01-29
410.0,101.0,118.0,2021-01-30
410.0,174.0,118.0,2021-01-30
0.0,0.0,30.0,2021-01-31
0.0,37.0,30.0,2021-01-31
0.0,113.0,0.0,2021-02-01
0.0,118.0,0.0,2021-02-01
0.0,499.0,356.0,2021-02-02
0.0,276.0,304.0,2021-02-03
0.0,362.0,0.0,2021-02-04
0.0,389.0,353.0,2021-02-05
0.0,0.0,158.0,2021-02-06
0.0,0.0,11.0,2021-02-07
0.0,0.0,0.0,2021-02-08
0.0,0.0,0.0,2021-02-08
36.0,0.0,339.0,2021-02-09
36.0,0.0,339.0,2021-02-09
0.0,0.0,287.0,2021-02-10
0.0,0.0,287.0,2021-02-10
0.0,0.0,0.0,2021-02-11
0.0,0.0,0.0,2021-02-11
0.0,0.0,336.0,2021-02-12
0.0,0.0,336.0,2021-02-12
0.0,0.0,0.0,2021-02-13
0.0,0.0,0.0,2021-02-13
0.0,0.0,0.0,2021-02-14
0.0,0.0,0.0,2021-02-14
0.0,36.0,203.0,2021-02-15
0.0,0.0,203.0,2021-02-15
