truth,pred,pred_sir,fecha
5523.0,5093.858544892161,5477.678107557113,2021-03-08
5523.0,5326.749626126294,5320.306723428054,2021-03-08
2232.0,169.0,954.0,2021-03-09
2232.0,2031.0,954.0,2021-03-09
5545.0,704.0,0.0,2021-03-10
5545.0,3241.0,0.0,2021-03-10
4666.0,925.0,27.0,2021-03-11
4666.0,5090.0,27.0,2021-03-11
7193.0,2595.0,4395.0,2021-03-12
7193.0,1843.0,4395.0,2021-03-12
7863.0,3784.0,540.0,2021-03-13
7863.0,4205.0,540.0,2021-03-13
8218.0,0.0,764.0,2021-03-14
8218.0,5523.0,764.0,2021-03-14
7715.0,0.0,0.0,2021-03-15
7715.0,2232.0,0.0,2021-03-15
6992.0,4115.0,0.0,2021-03-16
3819.0,1999.0,1298.0,2021-03-17
2159.0,5893.0,3339.0,2021-03-18
5050.0,4020.0,3405.0,2021-03-19
9229.0,5580.0,4303.0,2021-03-20
9581.0,3971.0,3453.0,2021-03-21
9245.0,9212.798262925675,9669.951298093618,2021-03-22
9245.0,8448.418736107129,9946.091501384011,2021-03-22
8185.0,1542.0,0.0,2021-03-23
8185.0,3175.0,0.0,2021-03-23
4136.0,0.0,464.0,2021-03-24
4136.0,2159.0,464.0,2021-03-24
6115.0,3312.0,2548.0,2021-03-25
6115.0,3329.0,2548.0,2021-03-25
8008.0,6519.0,2655.0,2021-03-26
8008.0,5670.0,2655.0,2021-03-26
9600.0,4816.0,3587.0,2021-03-27
9600.0,6829.0,3587.0,2021-03-27
8628.0,5286.0,9454.0,2021-03-28
8628.0,4662.0,9454.0,2021-03-28
7783.0,4000.0,0.0,2021-03-29
7783.0,5584.0,0.0,2021-03-29
