truth,pred,pred_sir,fecha
6881.0,6901.5359343053815,7484.342624255814,2021-01-11
6881.0,6507.56338346273,7124.781642526143,2021-01-11
4922.0,2754.0,7048.0,2021-01-12
4922.0,5384.0,7048.0,2021-01-12
3040.0,7915.0,1695.0,2021-01-13
3040.0,4416.0,1695.0,2021-01-13
3541.0,6500.0,1657.0,2021-01-14
3541.0,3611.0,1657.0,2021-01-14
3901.0,8179.0,1735.0,2021-01-15
3901.0,4473.0,1735.0,2021-01-15
3488.0,4704.0,1974.0,2021-01-16
3488.0,2627.0,1974.0,2021-01-16
3223.0,6779.0,1390.0,2021-01-17
3223.0,3619.0,1390.0,2021-01-17
2939.0,3166.0,13247.0,2021-01-18
2939.0,4745.0,13247.0,2021-01-18
2110.0,696.0,6046.0,2021-01-19
1986.0,3197.0,8052.0,2021-01-20
2484.0,2313.0,5931.0,2021-01-21
2580.0,2334.0,6870.0,2021-01-22
2333.0,2056.0,2910.0,2021-01-23
1890.0,1907.0,4537.0,2021-01-24
1364.0,1389.3377378691,1230.3453761749822,2021-01-25
1364.0,1357.4053862298504,1420.9525626487182,2021-01-25
1359.0,1101.0,3952.0,2021-01-26
1359.0,1641.0,3952.0,2021-01-26
923.0,1654.0,5998.0,2021-01-27
923.0,1964.0,5998.0,2021-01-27
1315.0,1584.0,3976.0,2021-01-28
1315.0,2082.0,3976.0,2021-01-28
1447.0,1675.0,1986.0,2021-01-29
1447.0,1481.0,1986.0,2021-01-29
1227.0,1133.0,1029.0,2021-01-30
1227.0,1525.0,1029.0,2021-01-30
1407.0,571.0,2675.0,2021-01-31
1407.0,1174.0,2675.0,2021-01-31
1234.0,732.0,9355.0,2021-02-01
1234.0,1101.0,9355.0,2021-02-01
