truth,pred,pred_sir,fecha
508.0,553.4987037305376,531.2215669628679,2021-01-25
508.0,490.69255761027154,537.6429603919257,2021-01-25
224.0,718.0,302.0,2021-01-26
224.0,674.0,302.0,2021-01-26
685.0,801.0,715.0,2021-01-27
685.0,931.0,715.0,2021-01-27
1067.0,422.0,844.0,2021-01-28
1067.0,732.0,844.0,2021-01-28
877.0,674.0,715.0,2021-01-29
877.0,529.0,715.0,2021-01-29
859.0,668.0,600.0,2021-01-30
859.0,760.0,600.0,2021-01-30
747.0,179.0,42.0,2021-01-31
747.0,471.0,42.0,2021-01-31
524.0,19.0,0.0,2021-02-01
524.0,220.0,0.0,2021-02-01
409.0,639.0,618.0,2021-02-02
766.0,933.0,889.0,2021-02-03
1194.0,680.0,614.0,2021-02-04
652.0,712.0,609.0,2021-02-05
802.0,590.0,685.0,2021-02-06
1012.0,391.0,299.0,2021-02-07
477.0,439.6189910350426,466.72722688224485,2021-02-08
477.0,450.4042093855939,494.52750307013486,2021-02-08
291.0,766.0,513.0,2021-02-09
291.0,0.0,513.0,2021-02-09
776.0,1194.0,784.0,2021-02-10
776.0,0.0,784.0,2021-02-10
969.0,652.0,511.0,2021-02-11
969.0,0.0,511.0,2021-02-11
739.0,802.0,509.0,2021-02-12
739.0,0.0,509.0,2021-02-12
712.0,1012.0,634.0,2021-02-13
712.0,763.0,634.0,2021-02-13
742.0,288.0,205.0,2021-02-14
742.0,87.0,205.0,2021-02-14
424.0,269.0,0.0,2021-02-15
424.0,0.0,0.0,2021-02-15
