truth,pred,pred_sir,fecha
791.0,864.5780247630828,735.8246215909003,2021-04-05
791.0,839.3241575974706,804.622276383449,2021-04-05
696.0,612.0,528.0,2021-04-06
696.0,3.0,528.0,2021-04-06
684.0,860.0,634.0,2021-04-07
684.0,390.0,634.0,2021-04-07
1042.0,654.0,427.0,2021-04-08
1042.0,9.0,427.0,2021-04-08
1062.0,822.0,430.0,2021-04-09
1062.0,0.0,430.0,2021-04-09
1166.0,985.0,345.0,2021-04-10
1166.0,0.0,345.0,2021-04-10
1055.0,791.0,191.0,2021-04-11
1055.0,0.0,191.0,2021-04-11
860.0,696.0,407.0,2021-04-12
860.0,0.0,407.0,2021-04-12
654.0,684.0,265.0,2021-04-13
1037.0,139.0,325.0,2021-04-14
1357.0,879.0,298.0,2021-04-15
1190.0,6.0,265.0,2021-04-16
1191.0,1047.0,418.0,2021-04-17
1195.0,0.0,243.0,2021-04-18
803.0,814.1274793494778,804.9401629773598,2021-04-19
803.0,878.7651500239006,781.133470879717,2021-04-19
574.0,1001.0,32.0,2021-04-20
574.0,54.0,32.0,2021-04-20
1100.0,1282.0,115.0,2021-04-21
1100.0,98.0,115.0,2021-04-21
1191.0,1055.0,111.0,2021-04-22
1191.0,165.0,111.0,2021-04-22
1308.0,965.0,99.0,2021-04-23
1308.0,251.0,99.0,2021-04-23
1361.0,850.0,272.0,2021-04-24
1361.0,365.0,272.0,2021-04-24
1157.0,441.0,572.0,2021-04-25
1157.0,186.0,572.0,2021-04-25
921.0,383.0,0.0,2021-04-26
921.0,24.0,0.0,2021-04-26
