truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-04-05
0.0,0.0,0.0,2021-04-05
0.0,64.0,0.0,2021-04-06
0.0,0.0,0.0,2021-04-06
272.0,255.0,235.0,2021-04-07
272.0,134.0,235.0,2021-04-07
0.0,53.0,0.0,2021-04-08
0.0,46.0,0.0,2021-04-08
137.0,75.0,0.0,2021-04-09
137.0,0.0,0.0,2021-04-09
41.0,0.0,0.0,2021-04-10
41.0,0.0,0.0,2021-04-10
0.0,0.0,0.0,2021-04-11
0.0,0.0,0.0,2021-04-11
0.0,0.0,153.0,2021-04-12
0.0,0.0,153.0,2021-04-12
0.0,272.0,0.0,2021-04-13
0.0,0.0,164.0,2021-04-14
0.0,137.0,2.0,2021-04-15
0.0,0.0,0.0,2021-04-16
0.0,0.0,0.0,2021-04-17
0.0,0.0,0.0,2021-04-18
0.0,0.0,0.0,2021-04-19
0.0,0.0,0.0,2021-04-19
0.0,0.0,0.0,2021-04-20
0.0,0.0,0.0,2021-04-20
0.0,0.0,107.0,2021-04-21
0.0,0.0,107.0,2021-04-21
0.0,0.0,0.0,2021-04-22
0.0,0.0,0.0,2021-04-22
0.0,0.0,0.0,2021-04-23
0.0,0.0,0.0,2021-04-23
0.0,0.0,0.0,2021-04-24
0.0,0.0,0.0,2021-04-24
0.0,0.0,0.0,2021-04-25
0.0,0.0,0.0,2021-04-25
0.0,0.0,928.0,2021-04-26
0.0,0.0,928.0,2021-04-26
