truth,pred,pred_sir,fecha
3587.0,3778.2524197048583,3722.3614901558058,2021-03-08
3587.0,3736.2065412267616,3778.6965013872095,2021-03-08
4181.0,3431.0,3295.0,2021-03-09
4181.0,434.0,3295.0,2021-03-09
4879.0,3210.0,0.0,2021-03-10
4879.0,2581.0,0.0,2021-03-10
4683.0,746.0,0.0,2021-03-11
4683.0,3729.0,0.0,2021-03-11
5376.0,3235.0,3323.0,2021-03-12
5376.0,536.0,3323.0,2021-03-12
5685.0,3389.0,923.0,2021-03-13
5685.0,2845.0,923.0,2021-03-13
5289.0,26.0,994.0,2021-03-14
5289.0,3577.0,994.0,2021-03-14
5236.0,2936.0,0.0,2021-03-15
5236.0,536.0,0.0,2021-03-15
4660.0,4675.0,2164.0,2021-03-16
5483.0,2920.0,1311.0,2021-03-17
5396.0,4271.0,1673.0,2021-03-18
6605.0,4083.0,2405.0,2021-03-19
6743.0,3772.0,1953.0,2021-03-20
6416.0,3849.0,1603.0,2021-03-21
5751.0,5506.183050361856,5806.50437548979,2021-03-22
5751.0,5800.864206892348,6026.625302857178,2021-03-22
5310.0,4211.0,1421.0,2021-03-23
5310.0,4774.0,1421.0,2021-03-23
7329.0,3157.0,618.0,2021-03-24
7329.0,4891.0,618.0,2021-03-24
6910.0,4316.0,1026.0,2021-03-25
6910.0,5887.0,1026.0,2021-03-25
6571.0,3991.0,1800.0,2021-03-26
6571.0,6110.0,1800.0,2021-03-26
7761.0,3606.0,1386.0,2021-03-27
7761.0,5874.0,1386.0,2021-03-27
6823.0,4890.0,5570.0,2021-03-28
6823.0,3560.0,5570.0,2021-03-28
6401.0,3731.0,0.0,2021-03-29
6401.0,4813.0,0.0,2021-03-29
