truth,pred,pred_sir,fecha
184.0,176.59401143935145,174.98634729965232,2021-03-08
184.0,193.2197488463129,202.3272385894981,2021-03-08
621.0,0.0,334.0,2021-03-09
621.0,401.0,334.0,2021-03-09
506.0,0.0,99.0,2021-03-10
506.0,570.0,99.0,2021-03-10
477.0,0.0,62.0,2021-03-11
477.0,450.0,62.0,2021-03-11
664.0,253.0,512.0,2021-03-12
664.0,183.0,512.0,2021-03-12
693.0,0.0,0.0,2021-03-13
693.0,245.0,0.0,2021-03-13
635.0,0.0,0.0,2021-03-14
635.0,184.0,0.0,2021-03-14
473.0,480.0,0.0,2021-03-15
473.0,0.0,0.0,2021-03-15
706.0,506.0,268.0,2021-03-16
998.0,78.0,441.0,2021-03-17
901.0,602.0,322.0,2021-03-18
875.0,221.0,452.0,2021-03-19
828.0,461.0,120.0,2021-03-20
655.0,109.0,62.0,2021-03-21
477.0,480.2414939141872,519.3769392889901,2021-03-22
477.0,467.1366046968266,439.47750542497886,2021-03-22
984.0,847.0,214.0,2021-03-23
984.0,527.0,214.0,2021-03-23
984.0,467.0,388.0,2021-03-24
984.0,638.0,388.0,2021-03-24
894.0,348.0,271.0,2021-03-25
894.0,680.0,271.0,2021-03-25
729.0,268.0,403.0,2021-03-26
729.0,678.0,403.0,2021-03-26
973.0,93.0,72.0,2021-03-27
973.0,602.0,72.0,2021-03-27
362.0,127.0,623.0,2021-03-28
362.0,368.0,623.0,2021-03-28
610.0,665.0,0.0,2021-03-29
610.0,576.0,0.0,2021-03-29
