truth,pred,pred_sir,fecha
6944.0,6302.436453715888,7578.048452591031,2021-02-22
6944.0,7176.16405819347,7588.681542538801,2021-02-22
3800.0,1732.0,0.0,2021-02-23
3800.0,2869.0,0.0,2021-02-23
6230.0,4688.0,99.0,2021-02-24
6230.0,2632.0,99.0,2021-02-24
12068.0,5626.0,4835.0,2021-02-25
12068.0,1302.0,4835.0,2021-02-25
12072.0,6902.0,569.0,2021-02-26
12072.0,0.0,569.0,2021-02-26
11453.0,8418.0,960.0,2021-02-27
11453.0,0.0,960.0,2021-02-27
12025.0,6944.0,349.0,2021-02-28
12025.0,0.0,349.0,2021-02-28
10037.0,3800.0,0.0,2021-03-01
10037.0,0.0,0.0,2021-03-01
4712.0,6230.0,0.0,2021-03-02
7873.0,3946.0,1237.0,2021-03-03
15622.0,6929.0,2146.0,2021-03-04
15183.0,2435.0,2270.0,2021-03-05
15751.0,8840.0,2578.0,2021-03-06
14775.0,0.0,1755.0,2021-03-07
13488.0,13572.958965226535,14302.86005006081,2021-03-08
13488.0,13149.219162913987,13093.662222267956,2021-03-08
6106.0,6712.0,3905.0,2021-03-09
6106.0,0.0,3905.0,2021-03-09
9851.0,15622.0,0.0,2021-03-10
9851.0,8664.0,0.0,2021-03-10
17180.0,3615.0,653.0,2021-03-11
17180.0,13576.0,653.0,2021-03-11
21023.0,9686.0,12136.0,2021-03-12
21023.0,2794.0,12136.0,2021-03-12
18782.0,11035.0,1509.0,2021-03-13
18782.0,9796.0,1509.0,2021-03-13
20973.0,304.0,863.0,2021-03-14
20973.0,13347.0,863.0,2021-03-14
17173.0,0.0,0.0,2021-03-15
17173.0,6106.0,0.0,2021-03-15
