truth,pred,pred_sir,fecha
666.0,607.3597546723245,646.0561248183346,2021-03-08
666.0,721.9090990387338,727.3740942628875,2021-03-08
365.0,545.0,327.0,2021-03-09
365.0,0.0,327.0,2021-03-09
854.0,977.0,134.0,2021-03-10
854.0,615.0,134.0,2021-03-10
630.0,0.0,28.0,2021-03-11
630.0,788.0,28.0,2021-03-11
568.0,580.0,578.0,2021-03-12
568.0,125.0,578.0,2021-03-12
475.0,793.0,116.0,2021-03-13
475.0,673.0,116.0,2021-03-13
499.0,0.0,0.0,2021-03-14
499.0,666.0,0.0,2021-03-14
535.0,143.0,0.0,2021-03-15
535.0,185.0,0.0,2021-03-15
259.0,786.0,83.0,2021-03-16
385.0,346.0,417.0,2021-03-17
656.0,443.0,264.0,2021-03-18
428.0,319.0,388.0,2021-03-19
508.0,389.0,499.0,2021-03-20
424.0,403.0,244.0,2021-03-21
444.0,456.4821359046842,460.7519705481538,2021-03-22
444.0,403.3699585988264,445.28585428875186,2021-03-22
250.0,313.0,0.0,2021-03-23
250.0,329.0,0.0,2021-03-23
424.0,503.0,275.0,2021-03-24
424.0,574.0,275.0,2021-03-24
543.0,168.0,133.0,2021-03-25
543.0,402.0,133.0,2021-03-25
383.0,331.0,267.0,2021-03-26
383.0,463.0,267.0,2021-03-26
437.0,228.0,387.0,2021-03-27
437.0,397.0,387.0,2021-03-27
265.0,400.0,390.0,2021-03-28
265.0,284.0,390.0,2021-03-28
306.0,139.0,0.0,2021-03-29
306.0,238.0,0.0,2021-03-29
