truth,pred,pred_sir,fecha
2376.0,2458.214415598316,2519.422900026767,2021-04-05
2376.0,2226.4606993841153,2335.6675210960684,2021-04-05
544.0,2367.0,1978.0,2021-04-06
544.0,0.0,1978.0,2021-04-06
885.0,2577.0,1755.0,2021-04-07
885.0,1549.0,1755.0,2021-04-07
2228.0,1603.0,856.0,2021-04-08
2228.0,234.0,856.0,2021-04-08
1677.0,2096.0,0.0,2021-04-09
1677.0,0.0,0.0,2021-04-09
826.0,1219.0,1632.0,2021-04-10
826.0,0.0,1632.0,2021-04-10
1053.0,2376.0,1495.0,2021-04-11
1053.0,0.0,1495.0,2021-04-11
807.0,544.0,0.0,2021-04-12
807.0,0.0,0.0,2021-04-12
0.0,885.0,654.0,2021-04-13
514.0,1142.0,927.0,2021-04-14
747.0,187.0,664.0,2021-04-15
0.0,584.0,621.0,2021-04-16
0.0,302.0,0.0,2021-04-17
915.0,422.0,865.0,2021-04-18
1033.0,1037.1288989243537,1023.0433299362537,2021-04-19
1033.0,1094.944863721558,1128.143927451454,2021-04-19
0.0,514.0,84.0,2021-04-20
0.0,79.0,84.0,2021-04-20
685.0,651.0,430.0,2021-04-21
685.0,214.0,430.0,2021-04-21
0.0,0.0,234.0,2021-04-22
0.0,0.0,234.0,2021-04-22
0.0,0.0,252.0,2021-04-23
0.0,0.0,252.0,2021-04-23
0.0,915.0,0.0,2021-04-24
0.0,88.0,0.0,2021-04-24
0.0,954.0,830.0,2021-04-25
0.0,0.0,830.0,2021-04-25
0.0,0.0,0.0,2021-04-26
0.0,0.0,0.0,2021-04-26
