truth,pred,pred_sir,fecha
492.0,497.4310780206196,483.8263008894741,2021-01-25
492.0,482.2062194929428,511.22209246492974,2021-01-25
407.0,1656.0,1185.0,2021-01-26
407.0,1340.0,1185.0,2021-01-26
1591.0,943.0,2121.0,2021-01-27
1591.0,1309.0,2121.0,2021-01-27
1879.0,735.0,1539.0,2021-01-28
1879.0,1143.0,1539.0,2021-01-28
1565.0,1096.0,1083.0,2021-01-29
1565.0,890.0,1083.0,2021-01-29
1262.0,1080.0,389.0,2021-01-30
1262.0,1198.0,389.0,2021-01-30
1331.0,0.0,0.0,2021-01-31
1331.0,492.0,0.0,2021-01-31
563.0,160.0,0.0,2021-02-01
563.0,356.0,0.0,2021-02-01
355.0,1477.0,1185.0,2021-02-02
1519.0,1406.0,979.0,2021-02-03
1498.0,1114.0,750.0,2021-02-04
1120.0,904.0,799.0,2021-02-05
826.0,1038.0,904.0,2021-02-06
772.0,216.0,0.0,2021-02-07
377.0,346.3009814653248,351.8572722837531,2021-02-08
377.0,403.4803647673113,397.4392319498652,2021-02-08
175.0,1519.0,925.0,2021-02-09
175.0,0.0,925.0,2021-02-09
280.0,1498.0,726.0,2021-02-10
280.0,0.0,726.0,2021-02-10
1355.0,1120.0,509.0,2021-02-11
1355.0,0.0,509.0,2021-02-11
1288.0,826.0,572.0,2021-02-12
1288.0,0.0,572.0,2021-02-12
911.0,772.0,274.0,2021-02-13
911.0,495.0,274.0,2021-02-13
936.0,199.0,0.0,2021-02-14
936.0,96.0,0.0,2021-02-14
257.0,140.0,0.0,2021-02-15
257.0,0.0,0.0,2021-02-15
