truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-01-25
0.0,0.0,0.0,2021-01-25
93824.0,1952.0,14920.0,2021-01-26
93824.0,33832.0,14920.0,2021-01-26
36435.0,26759.0,0.0,2021-01-27
36435.0,35127.0,0.0,2021-01-27
40283.0,28777.0,32245.0,2021-01-28
40283.0,37247.0,32245.0,2021-01-28
34900.0,33242.0,38594.0,2021-01-29
34900.0,27315.0,38594.0,2021-01-29
38115.0,0.0,0.0,2021-01-30
38115.0,0.0,0.0,2021-01-30
0.0,0.0,0.0,2021-01-31
0.0,0.0,0.0,2021-01-31
2.0,93824.0,6648.0,2021-02-01
2.0,65417.0,6648.0,2021-02-01
79647.0,15684.0,26584.0,2021-02-02
28997.0,35305.0,33472.0,2021-02-03
31526.0,23592.0,35263.0,2021-02-04
29890.0,30223.0,32700.0,2021-02-05
28496.0,0.0,0.0,2021-02-06
0.0,2.0,0.0,2021-02-07
0.0,0.0,0.0,2021-02-08
0.0,0.0,0.0,2021-02-08
47026.0,28997.0,20454.0,2021-02-09
47026.0,0.0,20454.0,2021-02-09
16346.0,31526.0,27240.0,2021-02-10
16346.0,0.0,27240.0,2021-02-10
18064.0,29890.0,29194.0,2021-02-11
18064.0,0.0,29194.0,2021-02-11
17801.0,28496.0,26873.0,2021-02-12
17801.0,0.0,26873.0,2021-02-12
14529.0,0.0,0.0,2021-02-13
14529.0,0.0,0.0,2021-02-13
0.0,0.0,0.0,2021-02-14
0.0,0.0,0.0,2021-02-14
0.0,47026.0,14404.0,2021-02-15
0.0,0.0,14404.0,2021-02-15
