truth,pred,pred_sir,fecha
12.0,12.240442617555455,11.340003827225189,2021-02-22
12.0,12.809583302595113,11.584661399458058,2021-02-22
2451.0,0.0,0.0,2021-02-23
2451.0,1085.0,0.0,2021-02-23
1144.0,0.0,246.0,2021-02-24
1144.0,1261.0,246.0,2021-02-24
1350.0,0.0,777.0,2021-02-25
1350.0,1223.0,777.0,2021-02-25
1165.0,0.0,348.0,2021-02-26
1165.0,1029.0,348.0,2021-02-26
1068.0,0.0,0.0,2021-02-27
1068.0,7.0,0.0,2021-02-27
0.0,2.0,0.0,2021-02-28
0.0,9.0,0.0,2021-02-28
11.0,2439.0,0.0,2021-03-01
11.0,0.0,0.0,2021-03-01
2565.0,1144.0,179.0,2021-03-02
1133.0,0.0,430.0,2021-03-03
1181.0,1165.0,468.0,2021-03-04
1173.0,0.0,340.0,2021-03-05
1179.0,0.0,0.0,2021-03-06
0.0,11.0,0.0,2021-03-07
0.0,0.0,0.0,2021-03-08
0.0,0.0,0.0,2021-03-08
2707.0,485.0,847.0,2021-03-09
2707.0,476.0,847.0,2021-03-09
1340.0,537.0,207.0,2021-03-10
1340.0,932.0,207.0,2021-03-10
1423.0,0.0,282.0,2021-03-11
1423.0,1173.0,282.0,2021-03-11
1336.0,642.0,932.0,2021-03-12
1336.0,314.0,932.0,2021-03-12
1251.0,0.0,0.0,2021-03-13
1251.0,0.0,0.0,2021-03-13
0.0,0.0,0.0,2021-03-14
0.0,0.0,0.0,2021-03-14
0.0,2707.0,0.0,2021-03-15
0.0,0.0,0.0,2021-03-15
