truth,pred,pred_sir,fecha
209.0,221.7989087421264,217.52254279198735,2021-05-17
209.0,192.2894838896542,226.53437325452737,2021-05-17
251.0,152.0,174.0,2021-05-18
98.0,364.0,356.0,2021-05-19
206.0,307.0,531.0,2021-05-20
417.0,229.0,363.0,2021-05-21
177.0,183.0,198.0,2021-05-22
243.0,0.0,0.0,2021-05-23
168.0,251.0,0.0,2021-05-24
102.0,0.0,0.0,2021-05-25
0.0,206.0,123.0,2021-05-26
4.0,142.0,328.0,2021-05-27
80.0,0.0,187.0,2021-05-28
206.0,243.0,47.0,2021-05-29
125.0,0.0,0.0,2021-05-30
0.0,102.0,0.0,2021-05-31
0.0,8.0,0.0,2021-05-31
