truth,pred,pred_sir,fecha
201.0,219.56984241759864,192.64433057706046,2021-06-14
201.0,190.58131695260096,184.93181647907303,2021-06-14
179.0,359.0,662.0,2021-06-15
0.0,95.0,565.0,2021-06-16
105.0,387.0,407.0,2021-06-17
0.0,0.0,262.0,2021-06-18
0.0,442.0,249.0,2021-06-19
105.0,0.0,0.0,2021-06-20
0.0,179.0,0.0,2021-06-21
0.0,0.0,460.0,2021-06-22
0.0,105.0,371.0,2021-06-23
283.0,0.0,215.0,2021-06-24
22.0,0.0,81.0,2021-06-25
0.0,105.0,75.0,2021-06-26
0.0,0.0,0.0,2021-06-27
0.0,0.0,0.0,2021-06-28
0.0,0.0,0.0,2021-06-28
