truth,pred,pred_sir,fecha
793.0,811.1541024472323,718.9456302080151,2021-11-15
793.0,716.175121821267,781.7070015882206,2021-11-15
3200.0,0.0,1443.0,2021-11-16
3844.0,3818.0,722.0,2021-11-17
2811.0,0.0,22.0,2021-11-18
2766.0,3122.0,714.0,2021-11-19
2709.0,0.0,0.0,2021-11-20
1426.0,793.0,0.0,2021-11-21
710.0,1475.0,0.0,2021-11-22
3440.0,643.0,415.0,2021-11-23
3211.0,1419.0,44.0,2021-11-24
2561.0,0.0,0.0,2021-11-25
2358.0,2709.0,272.0,2021-11-26
2474.0,0.0,0.0,2021-11-27
1206.0,710.0,0.0,2021-11-28
733.0,1923.0,0.0,2021-11-29
733.0,0.0,0.0,2021-11-29
