truth,pred,pred_sir,fecha
1207.0,1236.5436010558335,1257.8215564171744,2021-11-15
1207.0,1135.7685780320721,1168.7859249283465,2021-11-15
3927.0,6296.0,3046.0,2021-11-16
2013.0,6516.0,1502.0,2021-11-17
2542.0,5736.0,0.0,2021-11-18
2686.0,7572.0,0.0,2021-11-19
2595.0,6713.0,0.0,2021-11-20
1744.0,6218.0,0.0,2021-11-21
1395.0,8753.0,6123.0,2021-11-22
4076.0,9062.0,0.0,2021-11-23
2226.0,10114.0,0.0,2021-11-24
2722.0,11440.0,0.0,2021-11-25
4185.0,12844.0,0.0,2021-11-26
2925.0,13643.0,0.0,2021-11-27
2050.0,14433.0,0.0,2021-11-28
1661.0,18294.0,3857.0,2021-11-29
1661.0,25422.0,3857.0,2021-11-29
