truth,pred,pred_sir,fecha
3299.0,3359.05954919435,3404.024636126649,2021-11-01
3299.0,3231.210001781474,3628.4236203898486,2021-11-01
1105.0,2517.0,2936.0,2021-11-02
765.0,1461.0,3342.0,2021-11-03
4543.0,2371.0,535.0,2021-11-04
6284.0,1531.0,290.0,2021-11-05
6909.0,2713.0,753.0,2021-11-06
7065.0,57.0,0.0,2021-11-07
4133.0,1037.0,0.0,2021-11-08
1224.0,0.0,413.0,2021-11-09
4948.0,4543.0,1585.0,2021-11-10
7285.0,1116.0,0.0,2021-11-11
6957.0,5657.0,0.0,2021-11-12
6416.0,778.0,0.0,2021-11-13
6289.0,3280.0,0.0,2021-11-14
4114.0,0.0,0.0,2021-11-15
4114.0,1224.0,0.0,2021-11-15
