truth,pred,pred_sir,fecha
392.0,388.6334068883792,429.629046385237,2021-03-22
392.0,386.0185781109091,419.9985935323581,2021-03-22
318.0,67.0,139.0,2021-03-23
394.0,413.0,395.0,2021-03-24
349.0,81.0,287.0,2021-03-25
275.0,315.0,286.0,2021-03-26
311.0,131.0,253.0,2021-03-27
349.0,304.0,303.0,2021-03-28
319.0,114.0,0.0,2021-03-29
313.0,318.0,42.0,2021-03-30
343.0,138.0,298.0,2021-03-31
423.0,171.0,192.0,2021-04-01
717.0,183.0,193.0,2021-04-02
293.0,211.0,164.0,2021-04-03
693.0,161.0,216.0,2021-04-04
390.0,193.0,0.0,2021-04-05
390.0,250.0,0.0,2021-04-05
