truth,pred,pred_sir,fecha
8413.0,8602.909598794651,7708.612487030572,2021-01-11
8413.0,9055.57905611073,8782.532877585434,2021-01-11
4232.0,11897.0,8864.0,2021-01-12
9262.0,14712.0,13474.0,2021-01-13
10706.0,14563.0,14014.0,2021-01-14
10791.0,11630.0,11274.0,2021-01-15
8028.0,10462.0,9462.0,2021-01-16
9229.0,5994.0,4902.0,2021-01-17
5169.0,2844.0,0.0,2021-01-18
2615.0,8608.0,5268.0,2021-01-19
7565.0,8712.0,9917.0,2021-01-20
9523.0,8753.0,10619.0,2021-01-21
8105.0,5956.0,7961.0,2021-01-22
7326.0,7808.0,6308.0,2021-01-23
8321.0,3288.0,1858.0,2021-01-24
4188.0,1827.0,0.0,2021-01-25
4188.0,893.0,0.0,2021-01-25
