truth,pred,pred_sir,fecha
259.0,244.05335842152903,236.17604913869988,2021-07-12
259.0,278.4781907222857,280.6807061716601,2021-07-12
712.0,0.0,0.0,2021-07-13
637.0,191.0,0.0,2021-07-14
762.0,0.0,0.0,2021-07-15
656.0,46.0,0.0,2021-07-16
475.0,0.0,0.0,2021-07-17
506.0,259.0,5.0,2021-07-18
102.0,120.0,409.0,2021-07-19
487.0,350.0,0.0,2021-07-20
0.0,0.0,0.0,2021-07-21
0.0,656.0,0.0,2021-07-22
0.0,0.0,0.0,2021-07-23
0.0,506.0,0.0,2021-07-24
0.0,0.0,0.0,2021-07-25
0.0,487.0,274.0,2021-07-26
0.0,0.0,274.0,2021-07-26
