truth,pred,pred_sir,fecha
3053.0,2882.0954173928217,3128.0390960526206,2021-01-25
3053.0,2815.779492586596,3027.9469966271713,2021-01-25
273.0,863.0,332.0,2021-01-26
567.0,1048.0,1156.0,2021-01-27
1376.0,1029.0,1264.0,2021-01-28
2456.0,144.0,366.0,2021-01-29
667.0,934.0,460.0,2021-01-30
3080.0,2319.0,2491.0,2021-01-31
1046.0,0.0,0.0,2021-02-01
150.0,567.0,0.0,2021-02-02
288.0,930.0,575.0,2021-02-03
1101.0,1725.0,726.0,2021-02-04
936.0,0.0,0.0,2021-02-05
2060.0,3080.0,0.0,2021-02-06
1689.0,0.0,2046.0,2021-02-07
1163.0,150.0,0.0,2021-02-08
1163.0,168.0,0.0,2021-02-08
