truth,pred,pred_sir,fecha
366.0,381.002198132746,360.04421841332595,2020-12-28
428.0,637.0,670.0,2020-12-29
436.0,840.0,794.0,2020-12-30
928.0,907.0,814.0,2020-12-31
707.0,810.0,717.0,2021-01-01
370.0,659.0,619.0,2021-01-02
359.0,551.0,558.0,2021-01-03
308.0,582.0,1684.0,2021-01-04
373.0,597.0,879.0,2021-01-05
446.0,1092.0,1015.0,2021-01-06
682.0,1001.0,1048.0,2021-01-07
1034.0,635.0,963.0,2021-01-08
925.0,525.0,877.0,2021-01-09
604.0,444.0,829.0,2021-01-10
468.0,488.0,1970.0,2021-01-11
468.0,260.0,1970.0,2021-01-11
