truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-12-13
0.0,0.0,0.0,2021-12-13
593.0,9351.0,468.0,2021-12-14
1178.0,30448.0,740.0,2021-12-15
347.0,98004.0,240.0,2021-12-16
572.0,309143.0,35.0,2021-12-17
546.0,882469.0,262.0,2021-12-18
895.0,1706675.0,0.0,2021-12-19
484.0,199512.0,3618.0,2021-12-20
1248.0,0.0,211.0,2021-12-21
1996.0,347.0,546.0,2021-12-22
1939.0,580.0,0.0,2021-12-23
2361.0,584.0,0.0,2021-12-24
2696.0,954.0,0.0,2021-12-25
1183.0,621.0,0.0,2021-12-26
1927.0,1363.0,3185.0,2021-12-27
1927.0,727.0,3185.0,2021-12-27
