truth,pred,pred_sir,fecha
8207.0,8650.388303048063,8210.45610020056,2020-12-28
2928.0,13597.0,11716.0,2020-12-29
11165.0,18865.0,14971.0,2020-12-30
26357.0,27159.0,21848.0,2020-12-31
19772.0,28207.0,20657.0,2021-01-01
19126.0,11407.0,3840.0,2021-01-02
3343.0,11603.0,9016.0,2021-01-03
12489.0,6389.0,5665.0,2021-01-04
4013.0,13078.0,12666.0,2021-01-05
20273.0,30278.0,16015.0,2021-01-06
25000.0,28804.0,22951.0,2021-01-07
21514.0,27678.0,21832.0,2021-01-08
19637.0,11525.0,5088.0,2021-01-09
19788.0,15902.0,10330.0,2021-01-10
15813.0,8723.0,7046.0,2021-01-11
15813.0,2405.0,7046.0,2021-01-11
