truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-11-15
0.0,0.0,0.0,2021-11-15
21005.0,18128.0,5512.0,2021-11-16
5254.0,18951.0,5320.0,2021-11-17
10093.0,19697.0,13.0,2021-11-18
10609.0,20440.0,0.0,2021-11-19
11094.0,13042.0,0.0,2021-11-20
0.0,8557.0,0.0,2021-11-21
0.0,26794.0,13609.0,2021-11-22
27103.0,23725.0,0.0,2021-11-23
6317.0,26789.0,0.0,2021-11-24
12427.0,29773.0,0.0,2021-11-25
11945.0,32747.0,0.0,2021-11-26
11659.0,24115.0,0.0,2021-11-27
0.0,18081.0,0.0,2021-11-28
0.0,40941.0,8502.0,2021-11-29
0.0,64695.0,8502.0,2021-11-29
