truth,pred,pred_sir,fecha
510.0,525.3932283934656,543.3859492331367,2021-03-08
510.0,528.8188517454549,501.5679804903848,2021-03-08
424.0,209.0,253.0,2021-03-09
287.0,490.0,456.0,2021-03-10
604.0,303.0,352.0,2021-03-11
549.0,417.0,414.0,2021-03-12
605.0,399.0,431.0,2021-03-13
507.0,393.0,426.0,2021-03-14
376.0,307.0,0.0,2021-03-15
572.0,193.0,171.0,2021-03-16
338.0,544.0,377.0,2021-03-17
534.0,383.0,275.0,2021-03-18
544.0,488.0,340.0,2021-03-19
455.0,355.0,360.0,2021-03-20
482.0,262.0,357.0,2021-03-21
766.0,484.0,0.0,2021-03-22
766.0,249.0,0.0,2021-03-22
