truth,pred,pred_sir,fecha
7534.0,7336.00485257098,7111.010177623983,2021-11-15
7534.0,7969.522294854739,6997.940985726096,2021-11-15
5177.0,5050.0,6090.0,2021-11-16
7810.0,6493.0,4267.0,2021-11-17
10151.0,6919.0,313.0,2021-11-18
10599.0,6841.0,0.0,2021-11-19
10504.0,7070.0,433.0,2021-11-20
11494.0,6275.0,163.0,2021-11-21
9692.0,4243.0,0.0,2021-11-22
6384.0,7303.0,2341.0,2021-11-23
9990.0,9493.0,1630.0,2021-11-24
12416.0,10028.0,0.0,2021-11-25
13729.0,10203.0,0.0,2021-11-26
13654.0,11488.0,0.0,2021-11-27
12831.0,10028.0,0.0,2021-11-28
12914.0,6971.0,0.0,2021-11-29
12914.0,7939.0,0.0,2021-11-29
