truth,pred,pred_sir,fecha
761.0,830.6297563127629,792.7919772675001,2021-11-15
761.0,702.0607798073369,769.8900060402829,2021-11-15
410.0,676.0,1307.0,2021-11-16
1062.0,442.0,987.0,2021-11-17
1484.0,549.0,0.0,2021-11-18
1194.0,381.0,5.0,2021-11-19
417.0,724.0,188.0,2021-11-20
597.0,0.0,0.0,2021-11-21
486.0,410.0,0.0,2021-11-22
334.0,330.0,452.0,2021-11-23
1275.0,899.0,397.0,2021-11-24
1254.0,0.0,0.0,2021-11-25
1066.0,417.0,0.0,2021-11-26
846.0,0.0,0.0,2021-11-27
905.0,486.0,0.0,2021-11-28
485.0,0.0,0.0,2021-11-29
485.0,334.0,0.0,2021-11-29
