truth,pred,pred_sir,fecha
270.0,277.7921258831431,281.5721916998622,2021-05-31
270.0,269.668736293709,274.4220029022668,2021-05-31
180.0,80.0,246.0,2021-06-01
349.0,439.0,349.0,2021-06-02
404.0,0.0,319.0,2021-06-03
301.0,493.0,252.0,2021-06-04
359.0,0.0,286.0,2021-06-05
328.0,270.0,61.0,2021-06-06
188.0,0.0,0.0,2021-06-07
84.0,349.0,45.0,2021-06-08
215.0,0.0,168.0,2021-06-09
229.0,301.0,158.0,2021-06-10
209.0,0.0,110.0,2021-06-11
178.0,328.0,161.0,2021-06-12
216.0,0.0,0.0,2021-06-13
108.0,84.0,0.0,2021-06-14
108.0,0.0,0.0,2021-06-14
