truth,pred,pred_sir,fecha
1876.0,1902.2160311733164,1798.9527707813459,2021-08-09
1876.0,2006.9555438278608,1925.845191274494,2021-08-09
2011.0,0.0,1496.0,2021-08-10
1903.0,2996.0,1651.0,2021-08-11
2274.0,0.0,45.0,2021-08-12
2225.0,1930.0,0.0,2021-08-13
1961.0,0.0,0.0,2021-08-14
1914.0,1876.0,52.0,2021-08-15
1895.0,0.0,0.0,2021-08-16
2146.0,1903.0,315.0,2021-08-17
2577.0,0.0,896.0,2021-08-18
2235.0,2225.0,0.0,2021-08-19
1858.0,0.0,0.0,2021-08-20
2072.0,1914.0,0.0,2021-08-21
2115.0,0.0,0.0,2021-08-22
2065.0,2146.0,0.0,2021-08-23
2065.0,510.0,0.0,2021-08-23
