truth,pred,pred_sir,fecha
57.0,53.59146249116233,60.91693009571457,2021-04-19
57.0,59.23809000991777,55.4760978274706,2021-04-19
209.0,581.0,408.0,2021-04-20
9.0,0.0,283.0,2021-04-21
500.0,475.0,291.0,2021-04-22
146.0,0.0,176.0,2021-04-23
164.0,269.0,92.0,2021-04-24
15.0,0.0,0.0,2021-04-25
0.0,209.0,0.0,2021-04-26
22.0,0.0,243.0,2021-04-27
0.0,500.0,132.0,2021-04-28
0.0,0.0,157.0,2021-04-29
0.0,164.0,57.0,2021-04-30
0.0,0.0,0.0,2021-05-01
0.0,0.0,0.0,2021-05-02
0.0,22.0,0.0,2021-05-03
0.0,0.0,0.0,2021-05-03
