truth,pred,pred_sir,fecha
307.0,278.2405741891729,311.2009292319857,2021-09-06
307.0,313.7025016314365,335.340713860025,2021-09-06
164.0,225.0,344.0,2021-09-07
400.0,281.0,349.0,2021-09-08
521.0,294.0,265.0,2021-09-09
504.0,271.0,206.0,2021-09-10
523.0,311.0,185.0,2021-09-11
521.0,245.0,104.0,2021-09-12
469.0,120.0,523.0,2021-09-13
259.0,381.0,140.0,2021-09-14
524.0,471.0,150.0,2021-09-15
751.0,455.0,73.0,2021-09-16
714.0,488.0,20.0,2021-09-17
643.0,494.0,10.0,2021-09-18
782.0,456.0,0.0,2021-09-19
533.0,256.0,365.0,2021-09-20
533.0,0.0,365.0,2021-09-20
