truth,pred,pred_sir,fecha
390.0,401.6510729890921,390.0539837236039,2021-10-04
390.0,373.11750177800315,373.31951311173515,2021-10-04
165.0,493.0,36.0,2021-10-05
683.0,551.0,192.0,2021-10-06
453.0,541.0,157.0,2021-10-07
690.0,496.0,156.0,2021-10-08
782.0,540.0,220.0,2021-10-09
651.0,364.0,83.0,2021-10-10
482.0,162.0,0.0,2021-10-11
320.0,685.0,0.0,2021-10-12
686.0,492.0,0.0,2021-10-13
791.0,726.0,0.0,2021-10-14
750.0,864.0,16.0,2021-10-15
741.0,784.0,119.0,2021-10-16
595.0,634.0,11.0,2021-10-17
463.0,469.0,0.0,2021-10-18
463.0,388.0,0.0,2021-10-18
