truth,pred,pred_sir,fecha
7134.0,7092.240638690125,6441.525193362951,2021-02-22
7134.0,7419.650737231008,7645.475794881127,2021-02-22
3510.0,4694.0,3795.0,2021-02-23
5381.0,5853.0,4924.0,2021-02-24
6332.0,5096.0,4384.0,2021-02-25
5216.0,4724.0,4013.0,2021-02-26
4802.0,5999.0,5319.0,2021-02-27
5924.0,7034.0,6393.0,2021-02-28
6870.0,3377.0,0.0,2021-03-01
3296.0,5325.0,3063.0,2021-03-02
4989.0,6245.0,4205.0,2021-03-03
5726.0,4821.0,3680.0,2021-03-04
4707.0,4502.0,3324.0,2021-03-05
3659.0,5613.0,4646.0,2021-03-06
4970.0,6483.0,5736.0,2021-03-07
4923.0,2843.0,0.0,2021-03-08
4923.0,2261.0,0.0,2021-03-08
