truth,pred,pred_sir,fecha
565.0,616.2930127375213,552.4401210592824,2021-04-05
565.0,574.0490698525853,586.8758667099032,2021-04-05
115.0,912.0,789.0,2021-04-06
90.0,1091.0,1229.0,2021-04-07
1005.0,822.0,979.0,2021-04-08
1340.0,748.0,798.0,2021-04-09
1109.0,905.0,907.0,2021-04-10
1070.0,275.0,318.0,2021-04-11
379.0,28.0,0.0,2021-04-12
98.0,81.0,547.0,2021-04-13
763.0,978.0,988.0,2021-04-14
967.0,1028.0,746.0,2021-04-15
693.0,786.0,569.0,2021-04-16
596.0,822.0,684.0,2021-04-17
518.0,113.0,101.0,2021-04-18
214.0,59.0,0.0,2021-04-19
214.0,15.0,0.0,2021-04-19
