truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-04-05
0.0,0.0,0.0,2021-04-05
10190.0,0.0,3989.0,2021-04-06
6474.0,8372.0,7876.0,2021-04-07
8638.0,3389.0,6097.0,2021-04-08
9751.0,0.0,0.0,2021-04-09
10725.0,9400.0,8446.0,2021-04-10
0.0,0.0,0.0,2021-04-11
0.0,10190.0,0.0,2021-04-12
22596.0,2146.0,3111.0,2021-04-13
6117.0,7737.0,6968.0,2021-04-14
10300.0,6558.0,5221.0,2021-04-15
9491.0,7996.0,0.0,2021-04-16
10423.0,0.0,7544.0,2021-04-17
0.0,0.0,0.0,2021-04-18
0.0,22596.0,0.0,2021-04-19
0.0,0.0,0.0,2021-04-19
