truth,pred,pred_sir,fecha
0.0,0.0,0.0,2021-12-13
0.0,0.0,0.0,2021-12-13
0.0,7320.0,6838.0,2021-12-14
9378.0,31082.0,2465.0,2021-12-15
3947.0,121364.0,1815.0,2021-12-16
3911.0,461104.0,1399.0,2021-12-17
4037.0,1628289.0,0.0,2021-12-18
0.0,4230972.0,0.0,2021-12-19
0.0,464438.0,0.0,2021-12-20
0.0,0.0,4806.0,2021-12-21
12556.0,3947.0,854.0,2021-12-22
4560.0,3648.0,287.0,2021-12-23
4939.0,3934.0,178.0,2021-12-24
0.0,6.0,0.0,2021-12-25
0.0,0.0,0.0,2021-12-26
0.0,0.0,0.0,2021-12-27
0.0,0.0,0.0,2021-12-27
