truth,pred,pred_sir,fecha
12.0,11.796881520459054,12.453357857727635,2021-02-22
12.0,11.362299950999581,12.476711882035582,2021-02-22
2451.0,1361.0,1000.0,2021-02-23
1144.0,1418.0,1188.0,2021-02-24
1350.0,1391.0,1161.0,2021-02-25
1165.0,1190.0,977.0,2021-02-26
1068.0,140.0,0.0,2021-02-27
0.0,27.0,0.0,2021-02-28
11.0,2453.0,203.0,2021-03-01
2565.0,1392.0,966.0,2021-03-02
1133.0,1494.0,1156.0,2021-03-03
1181.0,1324.0,1131.0,2021-03-04
1173.0,1207.0,949.0,2021-03-05
1179.0,123.0,0.0,2021-03-06
0.0,22.0,0.0,2021-03-07
0.0,2567.0,180.0,2021-03-08
0.0,2001.0,180.0,2021-03-08
