truth,pred,pred_sir,fecha
3091.0,3230.252195784502,3091.8187329070875,2021-04-05
3091.0,3372.9509029858973,3180.014741163762,2021-04-05
2597.0,0.0,0.0,2021-04-06
2597.0,2985.0,0.0,2021-04-06
2120.0,0.0,1392.0,2021-04-07
2120.0,2556.0,1392.0,2021-04-07
1786.0,0.0,101.0,2021-04-08
1786.0,2892.0,101.0,2021-04-08
2633.0,0.0,837.0,2021-04-09
2633.0,3129.0,837.0,2021-04-09
2664.0,0.0,641.0,2021-04-10
2664.0,2828.0,641.0,2021-04-10
2294.0,0.0,1234.0,2021-04-11
2294.0,3091.0,1234.0,2021-04-11
3266.0,0.0,0.0,2021-04-12
3266.0,2597.0,0.0,2021-04-12
1761.0,0.0,430.0,2021-04-13
1859.0,1786.0,111.0,2021-04-14
2049.0,0.0,515.0,2021-04-15
2986.0,2664.0,806.0,2021-04-16
2538.0,0.0,662.0,2021-04-17
2152.0,3266.0,1081.0,2021-04-18
2079.0,2047.3389291904912,2123.238298434391,2021-04-19
2079.0,1879.080531857021,1996.4948087732778,2021-04-19
1743.0,0.0,0.0,2021-04-20
1743.0,1859.0,0.0,2021-04-20
1736.0,0.0,0.0,2021-04-21
1736.0,2049.0,0.0,2021-04-21
1812.0,0.0,0.0,2021-04-22
1812.0,2986.0,0.0,2021-04-22
2252.0,0.0,278.0,2021-04-23
2252.0,2538.0,278.0,2021-04-23
2331.0,0.0,229.0,2021-04-24
2331.0,2152.0,229.0,2021-04-24
2195.0,0.0,1641.0,2021-04-25
2195.0,2079.0,1641.0,2021-04-25
1605.0,0.0,0.0,2021-04-26
1605.0,1743.0,0.0,2021-04-26
