truth,pred,pred_sir,fecha
2055.0,2063.6460451498974,1871.8329132074332,2021-03-08
2055.0,1931.6985717324205,1857.1124575233125,2021-03-08
1113.0,482.0,0.0,2021-03-09
1113.0,1447.0,0.0,2021-03-09
2081.0,1438.0,0.0,2021-03-10
2081.0,389.0,0.0,2021-03-10
3325.0,2088.0,0.0,2021-03-11
3325.0,0.0,0.0,2021-03-11
3374.0,2667.0,1034.0,2021-03-12
3374.0,0.0,1034.0,2021-03-12
3420.0,2640.0,402.0,2021-03-13
3420.0,0.0,402.0,2021-03-13
3363.0,2055.0,169.0,2021-03-14
3363.0,0.0,169.0,2021-03-14
2943.0,1113.0,0.0,2021-03-15
2943.0,0.0,0.0,2021-03-15
1587.0,2081.0,0.0,2021-03-16
3078.0,0.0,0.0,2021-03-17
4974.0,3374.0,0.0,2021-03-18
4440.0,0.0,279.0,2021-03-19
4749.0,3363.0,756.0,2021-03-20
0.0,0.0,441.0,2021-03-21
8998.0,9526.538386962015,8501.17486863346,2021-03-22
8998.0,8719.694884582146,9768.375095720678,2021-03-22
2229.0,3078.0,0.0,2021-03-23
2229.0,0.0,0.0,2021-03-23
3398.0,4974.0,0.0,2021-03-24
3398.0,0.0,0.0,2021-03-24
6113.0,4440.0,0.0,2021-03-25
6113.0,0.0,0.0,2021-03-25
5257.0,4749.0,0.0,2021-03-26
5257.0,0.0,0.0,2021-03-26
5697.0,0.0,430.0,2021-03-27
5697.0,0.0,430.0,2021-03-27
5029.0,8998.0,6899.0,2021-03-28
5029.0,0.0,6899.0,2021-03-28
4620.0,2229.0,0.0,2021-03-29
4620.0,0.0,0.0,2021-03-29
