truth,pred,pred_sir,fecha
112.0,101.35280351596583,102.30639174477677,2021-01-11
112.0,116.01839812636791,110.96280931805543,2021-01-11
626.0,1419.0,1183.0,2021-01-12
626.0,921.0,1183.0,2021-01-12
747.0,757.0,924.0,2021-01-13
747.0,1125.0,924.0,2021-01-13
534.0,570.0,140.0,2021-01-14
534.0,965.0,140.0,2021-01-14
533.0,491.0,0.0,2021-01-15
533.0,829.0,0.0,2021-01-15
554.0,171.0,0.0,2021-01-16
554.0,421.0,0.0,2021-01-16
240.0,0.0,0.0,2021-01-17
240.0,112.0,0.0,2021-01-17
67.0,644.0,0.0,2021-01-18
67.0,456.0,0.0,2021-01-18
571.0,822.0,1134.0,2021-01-19
554.0,670.0,861.0,2021-01-20
488.0,644.0,747.0,2021-01-21
450.0,661.0,635.0,2021-01-22
569.0,350.0,292.0,2021-01-23
266.0,124.0,23.0,2021-01-24
129.0,129.94374364660504,139.23411936044084,2021-01-25
129.0,141.65074484283497,121.69594219748063,2021-01-25
787.0,620.0,1114.0,2021-01-26
787.0,369.0,1114.0,2021-01-26
833.0,550.0,843.0,2021-01-27
833.0,325.0,843.0,2021-01-27
607.0,505.0,732.0,2021-01-28
607.0,301.0,732.0,2021-01-28
564.0,480.0,437.0,2021-01-29
564.0,652.0,437.0,2021-01-29
703.0,380.0,281.0,2021-01-30
703.0,155.0,281.0,2021-01-30
352.0,156.0,13.0,2021-01-31
352.0,83.0,13.0,2021-01-31
138.0,801.0,0.0,2021-02-01
138.0,550.0,0.0,2021-02-01
