truth,pred,pred_sir,fecha
2353.0,2358.3267131863627,2223.2635938355124,2021-02-22
2353.0,2163.7456144028924,2523.4473280986444,2021-02-22
3526.0,2131.0,322.0,2021-02-23
3526.0,1221.0,322.0,2021-02-23
2922.0,1719.0,519.0,2021-02-24
2922.0,675.0,519.0,2021-02-24
2985.0,2585.0,1803.0,2021-02-25
2985.0,1128.0,1803.0,2021-02-25
3080.0,2084.0,1277.0,2021-02-26
3080.0,503.0,1277.0,2021-02-26
3007.0,2036.0,455.0,2021-02-27
3007.0,0.0,455.0,2021-02-27
2399.0,2353.0,265.0,2021-02-28
2399.0,0.0,265.0,2021-02-28
2037.0,3526.0,0.0,2021-03-01
2037.0,385.0,0.0,2021-03-01
3484.0,2443.0,955.0,2021-03-02
3063.0,0.0,119.0,2021-03-03
2880.0,3080.0,894.0,2021-03-04
3199.0,0.0,803.0,2021-03-05
3254.0,2399.0,442.0,2021-03-06
2420.0,0.0,516.0,2021-03-07
2053.0,2247.1807421928975,2242.218710600668,2021-03-08
2053.0,2219.9316879802163,2165.523834806061,2021-03-08
3512.0,3063.0,215.0,2021-03-09
3512.0,0.0,215.0,2021-03-09
2779.0,2880.0,0.0,2021-03-10
2779.0,0.0,0.0,2021-03-10
2943.0,3199.0,444.0,2021-03-11
2943.0,0.0,444.0,2021-03-11
3153.0,3254.0,1561.0,2021-03-12
3153.0,0.0,1561.0,2021-03-12
3381.0,2420.0,109.0,2021-03-13
3381.0,0.0,109.0,2021-03-13
2303.0,2053.0,231.0,2021-03-14
2303.0,0.0,231.0,2021-03-14
1904.0,3512.0,0.0,2021-03-15
1904.0,0.0,0.0,2021-03-15
