truth,pred,pred_sir,fecha
256.0,239.98110165764325,276.68397849232576,2021-02-22
256.0,258.24286464395914,253.79386478826322,2021-02-22
70.0,241.0,0.0,2021-02-23
70.0,39.0,0.0,2021-02-23
330.0,465.0,228.0,2021-02-24
330.0,55.0,228.0,2021-02-24
656.0,297.0,130.0,2021-02-25
656.0,184.0,130.0,2021-02-25
468.0,278.0,135.0,2021-02-26
468.0,123.0,135.0,2021-02-26
448.0,332.0,49.0,2021-02-27
448.0,94.0,49.0,2021-02-27
482.0,204.0,0.0,2021-02-28
482.0,67.0,0.0,2021-02-28
345.0,8.0,0.0,2021-03-01
345.0,65.0,0.0,2021-03-01
63.0,270.0,0.0,2021-03-02
380.0,406.0,104.0,2021-03-03
703.0,93.0,9.0,2021-03-04
580.0,362.0,82.0,2021-03-05
513.0,148.0,156.0,2021-03-06
575.0,208.0,27.0,2021-03-07
343.0,369.20804074177045,340.160231777325,2021-03-08
343.0,358.37789987155185,336.0731370688328,2021-03-08
89.0,273.0,0.0,2021-03-09
89.0,127.0,0.0,2021-03-09
456.0,585.0,40.0,2021-03-10
456.0,0.0,40.0,2021-03-10
843.0,580.0,0.0,2021-03-11
843.0,0.0,0.0,2021-03-11
623.0,513.0,206.0,2021-03-12
623.0,37.0,206.0,2021-03-12
656.0,540.0,112.0,2021-03-13
656.0,0.0,112.0,2021-03-13
673.0,343.0,0.0,2021-03-14
673.0,0.0,0.0,2021-03-14
482.0,89.0,0.0,2021-03-15
482.0,3.0,0.0,2021-03-15
